,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,playlist_name
13,NOTD,Nobody,Nobody,7GiozRoMk95aFl1WbrDdjX,0.818,0.773,8,-5.714,0,0.0579,7.64e-06,0.377,0.878,122.016,143953,4,69.0,Beast Mode
14,Tiësto,The Motto,The Motto,18asYwWugKjjsihZ0YvRxO,0.754,0.763,7,-4.627,0,0.0435,2.23e-05,0.0901,0.464,117.953,164819,4,85.0,Beast Mode
15,Joel Corry,OUT OUT (feat. Charli XCX & Saweetie),OUT OUT (feat. Charli XCX & Saweetie),6Dy1jexKYriXAVG6evyUTJ,0.787,0.833,8,-4.403,1,0.0478,0.00747,0.0374,0.796,123.97,162604,4,89.0,Beast Mode
16,Lil Nas X,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),3BZEcbdtXQSo7OrvKRJ6mb,0.61,0.508,8,-6.682,0,0.152,0,0.384,0.758,178.818,137876,4,18.0,Beast Mode
17,TELYKast,Somebody New,Somebody New,6lP1UrOucq5sIXl6scYAHS,0.766,0.814,8,-4.131,1,0.0325,0.000139,0.0719,0.308,124.017,145161,4,59.0,Beast Mode
18,Internet Money,"Lemonade (feat. Gunna, Don Toliver & NAV)",Lemonade,02kDW379Yfd5PzW5A6vuGt,0.799,0.66,1,-6.153,0,0.079,0,0.111,0.471,140.04,195429,4,81.0,Beast Mode
19,Becky Hill,My Heart Goes (La Di Da) (feat. Topic),My Heart Goes (La Di Da) (feat. Topic),4xMbBESczlHPUO8QeYi56p,0.695,0.781,7,-5.578,0,0.0452,3.12e-05,0.295,0.456,124.04,148960,4,82.0,Beast Mode
20,KSHMR,Kids (feat. MKLA),Kids (feat. MKLA),3rgTS3933lMWoPiN6CW4qY,0.744,0.866,9,-4.834,1,0.106,0.0537,0.528,0.302,128.027,184687,4,70.0,Beast Mode
21,Alan Walker,Sweet Dreams,Sweet Dreams,4uDhts78RdwIDjEqPrYVKp,0.766,0.817,7,-4.253,1,0.035,2.49e-06,0.159,0.43,125.033,138819,4,79.0,Beast Mode
22,HRVY,1 Day 2 Nights,1 Day 2 Nights,7bRu6qrKsJlwbxf04aZiTT,0.747,0.749,0,-6.337,1,0.0558,1.79e-06,0.318,0.914,121.964,138200,4,47.0,Beast Mode
23,ILLENIUM,First Time,First Time,2eFjKl5cyPPYElDByCh6Tb,0.526,0.667,9,-5.451,1,0.0437,0,0.321,0.43,155.085,165779,4,69.0,Beast Mode
24,Topic,Chain My Heart,Chain My Heart,67lbzVADsqJJ6tyVk0XCgn,0.663,0.849,11,-4.462,0,0.0334,1.2e-06,0.192,0.722,123.992,146880,4,75.0,Beast Mode
25,Gaullin,What's Up,What's Up,12yj178KaJo8PrddT0StaL,0.739,0.845,5,-5.93,0,0.0397,0.0107,0.775,0.839,121.997,147541,4,68.0,Beast Mode
26,Lil Nas X,HOLIDAY,HOLIDAY,6zFMeegAMYQo0mt8rXtrli,0.81,0.511,5,-6.924,0,0.164,0,0.0832,0.837,151.947,154998,4,83.0,Beast Mode
27,GATTÜSO,Heart On My Sleeve,Heart On My Sleeve,32hvlKjjOhc15tnVmNk4wE,0.559,0.856,0,-4.122,0,0.0621,0,0.113,0.276,127.997,209062,4,61.0,Beast Mode
28,ATB,Your Love (9PM),Your Love (9PM),5YaskwnGDZFDRipaqzbwQx,0.669,0.784,7,-5.603,1,0.112,6.28e-06,0.115,0.517,125.993,150053,4,83.0,Beast Mode
29,OneRepublic,Run,Run,2UbVnbE5FH6008mAm6Mmgw,0.682,0.72,11,-8.173,0,0.0381,0,0.148,0.673,117.003,169011,4,83.0,Beast Mode
30,Alan Walker,Don't You Hold Me Down,Don't You Hold Me Down,0d1ujEcFwTqA4kWliTSJim,0.773,0.839,5,-4.046,1,0.0566,0.00797,0.132,0.303,123.975,132598,4,74.0,Beast Mode
31,VINAI,Up All Night (feat. Afrojack),Up All Night (feat. Afrojack),5k1uIPpsHmnbWFr4nbpdYb,0.637,0.868,1,-4.921,0,0.0555,2.12e-05,0.288,0.444,100.048,160907,4,66.0,Beast Mode
32,MEDUZA,Paradise,Paradise (feat. Dermot Kennedy),6ft4hAq6yde8jPZY2i5zLr,0.632,0.595,8,-7.644,0,0.0401,0,0.209,0.435,124.114,167903,4,83.0,Beast Mode
33,Rita Ora,Big (feat. Gunna),Big (feat. Gunna),78oZ26xvmtCfarveRXs3dq,0.779,0.845,7,-3.446,1,0.0356,1.16e-06,0.0641,0.615,111.995,156781,4,68.0,Beast Mode
34,Icona Pop,Off Of My Mind,Off Of My Mind,1HHnQYqcnlnE9q7LGFFGFj,0.798,0.752,1,-5.947,1,0.227,0.0362,0.0795,0.565,125.996,164740,4,71.0,Beast Mode
35,Navos,Believe Me,Believe Me,44xO8889yUQHn70P73NILS,0.629,0.876,5,-5.572,0,0.0408,1.39e-06,0.29,0.645,124.999,188260,4,78.0,Beast Mode
36,TELYKast,Unbreakable (with Sam Gray),Unbreakable (with Sam Gray),1ymsN94JMOSZncP5WETfSh,0.717,0.796,9,-5.474,0,0.0599,0,0.0737,0.379,123.996,183091,4,50.0,Beast Mode
37,Jack Harlow,Way Out (feat. Big Sean),Way Out (feat. Big Sean),6rLi6PyWXu1rPlShuIZpj6,0.945,0.582,11,-8.357,0,0.0719,0,0.103,0.907,108.025,168906,4,70.0,Beast Mode
38,NGHTMRE,FEELING GUD,FEELING GUD,0suLmBuEbatdochI4tHduq,0.484,0.94,5,-3.682,0,0.257,0.000323,0.266,0.334,173.741,190682,4,70.0,Beast Mode
39,Martin Garrix,Pressure (feat. Tove Lo),Pressure (feat. Tove Lo),4ga4WvRNhMsIL38pkBbnIN,0.859,0.558,7,-8.991,0,0.0902,0.324,0.124,0.357,114.978,144391,4,74.0,Beast Mode
40,Marshmello,Shockwave,Shockwave,3sOGVdj5VPY6C2XImtlzj7,0.577,0.875,9,-2.897,0,0.0681,4.69e-06,0.111,0.411,164.009,181283,4,65.0,Beast Mode
41,MEDUZA,Tell It To My Heart,Tell It To My Heart,46nvQpUDsxpS08UTFOeKTA,0.539,0.715,11,-6.639,0,0.0595,0,0.609,0.489,123.854,165524,4,82.0,Beast Mode
42,Gryffin,Piece Of Me (with LOVA),Piece Of Me (with LOVA),5mlNLzIdl6Ae2a4YRphSI4,0.676,0.865,9,-2.899,1,0.0412,0.000476,0.117,0.394,121.99,202647,4,69.0,Beast Mode
43,Ofenbach,Wasted Love (feat. Lagique),Wasted Love (feat. Lagique),2pPO9YecZimmuVQfIzfV6U,0.734,0.855,6,-4.578,0,0.135,4.73e-06,0.0901,0.54,121.955,139563,4,80.0,Beast Mode
44,Galantis,Heartbreak Anthem (with David Guetta & Little Mix),Heartbreak Anthem (with David Guetta & Little Mix),5K6Ssv4Z3zRvxt0P6EKUAP,0.595,0.784,1,-4.878,1,0.102,0,0.0608,0.479,124.111,183726,4,84.0,Beast Mode
45,Ty Dolla $ign,Spicy (feat. Post Malone),Spicy (feat. Post Malone),5nWVyZaCwtfAkBnwDuXjBh,0.784,0.496,7,-5.746,1,0.0435,0,0.113,0.132,100.002,144028,4,3.0,Beast Mode
46,John Summit,Deep End (SIDEPIECE Remix),Deep End - SIDEPIECE Remix,5WNa0eaGNwQ1ZXTHVlULpd,0.773,0.652,11,-9.187,0,0.0807,0.024,0.44,0.453,126.007,196687,4,70.0,Beast Mode
47,Don Diablo,Kill Me Better,Kill Me Better,7MtJ0dU4m3F6JQG9qdyaPk,0.477,0.784,8,-3.598,1,0.0549,0,0.135,0.504,79.887,193569,4,61.0,Beast Mode
48,Lady Bee,Soon Not Later,Soon Not Later,1hnDaOYkZwW6ZSDeDXmNFo,0.783,0.852,1,-4.774,1,0.0493,0.00206,0.111,0.559,126.012,158095,4,59.0,Beast Mode
49,R3HAB,One More Dance (with Alida),One More Dance (with Alida),2aOK6TRYn4DneIBHJOAQ4r,0.726,0.759,9,-5.107,0,0.0428,0.000448,0.0891,0.56,123.923,145320,3,68.0,Beast Mode
50,Loud Luxury,Like Gold,Like Gold,5seWZTjT0U8a7cy3Y5NJQ9,0.759,0.845,6,-6.794,0,0.0421,8.65e-05,0.215,0.694,124.0,176389,4,63.0,Beast Mode
51,Jonas Blue,Hear Me Say,Hear Me Say,7dk9EBvTbbKBbFxjCAJpwK,0.697,0.836,5,-5.005,1,0.0437,4.46e-06,0.0754,0.631,121.977,190772,4,73.0,Beast Mode
52,Imanbek,Hey Baby (feat. Gia Koka),Hey Baby (feat. Gia Koka),3bNIlJBpwgwFNnFuSjH6Uh,0.754,0.877,0,-4.544,1,0.176,0,0.265,0.649,122.001,177546,4,64.0,Beast Mode
53,Jauz,Oceans & Galaxies,Oceans & Galaxies,5NQKpa6uCqZcaFkAbUK4XB,0.532,0.625,1,-7.472,0,0.0506,3.35e-05,0.103,0.297,145.857,200548,4,64.0,Beast Mode
54,Bebe Rexha,Sacrifice,Sacrifice,1RSBK5VWdjPjHEmRhAkS4Q,0.659,0.877,11,-5.089,0,0.0288,0,0.094,0.471,119.992,160871,4,70.0,Beast Mode
55,Juice WRLD,Legends Never Die,Come & Go (with Marshmello),2Y0wPrPQBrGhoLn14xRYCG,0.625,0.814,0,-5.181,1,0.0657,0,0.158,0.535,144.991,205485,4,83.0,Beast Mode
56,Loud Luxury,Nights Like This (PBH & Jack Remix),Nights Like This - PBH & Jack Remix,24BBzfOsyK6YELZSo0ILNG,0.673,0.839,3,-4.242,1,0.0433,0.00272,0.192,0.653,126.014,173333,4,56.0,Beast Mode
57,DJ Snake,Run It (feat. Rick Ross & Rich Brian),Run It (feat. Rick Ross & Rich Brian),282R6Lvm9nLtpx8AzUwJe0,0.688,0.725,2,-7.831,1,0.0456,9.18e-06,0.0859,0.224,104.018,163390,4,72.0,Beast Mode
58,Riton,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,4cG7HUWYHBV6R6tHn1gxrl,0.824,0.862,2,-3.424,1,0.126,0.000132,0.303,0.801,122.98,169153,4,87.0,Beast Mode
59,NERVO,Gotta Be You,Gotta Be You,2Q8fFORnsDE6I3RNvSLXSf,0.642,0.869,6,-5.271,0,0.0452,0.0288,0.0708,0.376,123.91,149032,4,67.0,Beast Mode
60,Marshmello,Too Much (feat. Usher),Too Much (feat. Usher),39umHdGKfpnjY4TFtnoQ51,0.712,0.891,6,-2.76,0,0.0401,0,0.258,0.735,126.012,165704,4,68.0,Beast Mode
61,Andrew Rayel,Silver Lining,Silver Lining,6D9pncRlZZoq4oc1tzAC1y,0.633,0.844,5,-3.815,0,0.0461,0,0.097,0.637,125.032,177746,4,60.0,Beast Mode
62,BODYWORX,No Pain No Gain,No Pain No Gain,7sXfnVRtIuohi0PQiyDVV8,0.81,0.817,8,-5.327,1,0.0902,1.82e-06,0.0488,0.267,125.989,156190,4,58.0,Beast Mode
63,David Guetta,Impossible (feat. John Martin),Impossible (feat. John Martin),7nvaEKdCDWbnQK7uJsCS5y,0.459,0.732,2,-5.493,0,0.0593,1.07e-05,0.279,0.0609,127.938,188438,4,69.0,Beast Mode
64,Swedish House Mafia,Lifetime,Lifetime (with Ty Dolla $ign & 070 Shake),3zQpGaH50HeMjxurMZVF6q,0.591,0.719,11,-7.824,0,0.215,3.17e-06,0.906,0.142,100.014,186805,4,74.0,Beast Mode
65,Route 94,Sad Songs (feat. L Devine),Sad Songs (feat. L Devine),3JsmrruMp8AWcbEZ4342JY,0.7,0.816,7,-5.439,0,0.0361,0.119,0.0729,0.632,123.986,191613,4,62.0,Beast Mode
66,Sunnery James & Ryan Marciano,Life After You,Life After You,2c1BSmrSeBEY9FxhzSiFWh,0.649,0.717,1,-5.17,1,0.0544,0,0.16,0.305,125.001,188081,4,57.0,Beast Mode
67,Toby Romeo,Where The Lights Are Low,Where The Lights Are Low,0Cnb8XdGDMHAmIRBUJMkIS,0.759,0.807,8,-5.812,0,0.122,0,0.105,0.62,123.904,136996,4,74.0,Beast Mode
68,Becky Hill,Remember,Remember,4laAKIq9ZxBCwf99rauPYb,0.612,0.862,8,-2.903,1,0.037,0,0.0907,0.354,123.849,160766,4,81.0,Beast Mode
69,Oliver Heldens,Set Me Free (feat. MAX),Set Me Free (feat. MAX),1bmvJkAA8Yz9bv6y3WOj3U,0.793,0.701,2,-4.764,1,0.0428,0,0.164,0.62,123.964,193364,4,65.0,Beast Mode
70,CJ,Whoopty,Whoopty,5vGLcdRuSbUhD8ScwsGSdA,0.719,0.648,3,-7.6,0,0.125,0,0.127,0.66,140.201,123263,4,79.0,Beast Mode
71,Robin M,Moment,Moment,3DWOrtHvdwpv0nmzEoJikH,0.736,0.531,6,-6.542,1,0.0826,0.000926,0.107,0.753,122.957,129445,4,65.0,Beast Mode
72,Never Sleeps,You Got The Love,You Got The Love,1O3Jlr6ksM6meUe1atDAxY,0.519,0.761,8,-3.618,1,0.0445,6.48e-06,0.103,0.309,124.947,196685,4,61.0,Beast Mode
73,Joel Corry,Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),4wosxLl0mAqhneDzya2MfY,0.732,0.874,8,-3.158,1,0.0662,1.17e-05,0.0489,0.905,122.961,166028,4,67.0,Beast Mode
74,GASHI,Used to Be (Rasster Remix),Used to Be (Rasster Remix),1G7ByVLXg8GLq9bbCkuPyi,0.699,0.929,9,-3.721,0,0.0741,0,0.266,0.311,120.06,152000,4,38.0,Beast Mode
75,Robin Schulz,All We Got (feat. KIDDO) [Ofenbach Remix],All We Got (feat. KIDDO) - Ofenbach Remix,2rUsJXt4NeeDiIU6sBvrxo,0.803,0.796,6,-5.077,0,0.0343,2.69e-05,0.25,0.549,114.95,129814,4,67.0,Beast Mode
76,Big Sean,Detroit 2,Wolves (feat. Post Malone),33gwZOGJWEZ7dRWPqPxBEZ,0.724,0.675,2,-5.267,1,0.0867,9.41e-06,0.351,0.325,160.048,199758,4,79.0,Beast Mode
77,Dimitri Vegas & Like Mike,Say My Name,Say My Name,3GYlQmwfBDo7imFyGPhrl7,0.729,0.788,10,-4.832,0,0.0908,0,0.115,0.857,118.039,159536,4,74.0,Beast Mode
78,Timmy Trumpet,Another Level (ft. Lovespeake),Another Level (ft. Lovespeake),2jSVBVxFFQY15Ce0V8HUH9,0.656,0.788,3,-4.531,0,0.0525,0.0642,0.144,0.403,125.008,145941,4,63.0,Beast Mode
79,Don Diablo,Tears For Later,Tears For Later,0qLCGr3tEqsvk5FfHU2XqV,0.633,0.866,1,-3.694,1,0.149,0.001,0.0904,0.161,95.059,166737,4,63.0,Beast Mode
80,Alok,It Don’t Matter - Spotify Singles,It Don’t Matter - Spotify Singles,7ltLi7CG003USSGYsSba9s,0.732,0.864,3,-5.94,0,0.0378,1.34e-05,0.367,0.568,118.032,173743,4,70.0,Beast Mode
81,Ty Dolla $ign,I Won [From F9 The Fast Saga Original Motion Picture Soundtrack],I Won,1viUV5EGlKGCiSveBfFeQg,0.762,0.788,9,-4.087,0,0.174,0,0.114,0.672,140.993,175640,4,64.0,Beast Mode
82,Sonny Fodera,Wired (with Ella Eyre),Wired (with Ella Eyre),7k3uKOLzMCvYM00E3QZTSq,0.7,0.764,9,-4.836,0,0.0314,0,0.162,0.424,125.02,202652,4,62.0,Beast Mode
83,R3HAB,Distant Memory (with Timmy Trumpet x W&W),Distant Memory (with Timmy Trumpet x W&W),50Q24gRvLy128dfU2DDoao,0.664,0.781,9,-5.3,0,0.151,0,0.139,0.343,127.919,150469,4,56.0,Beast Mode
84,La Roux,Bulletproof,Bulletproof,0SyxZC4wlqAwf20cHE6Xon,0.752,0.771,6,-5.95,1,0.0311,1.73e-05,0.0905,0.527,126.02,162213,4,71.0,Beast Mode
85,Marshmello,Shockwave,Hitta (feat. Juicy J),244AoGCbxOWUhaRzTR7Spz,0.732,0.956,2,-2.775,1,0.0708,6.99e-06,0.357,0.375,145.103,170807,4,57.0,Beast Mode
86,Swedish House Mafia,Moth To A Flame,Moth To A Flame (with The Weeknd),2gpWyfu7eZ01zzncHpxOtA,0.542,0.659,8,-7.289,1,0.0389,0,0.105,0.109,120.122,234000,4,93.0,Beast Mode
87,Doja Cat,Streets (Remixes),Streets - DJ Sliink Remix,2OlXEjn4FufYIVL9KC1FHO,0.731,0.742,0,-9.151,1,0.0986,0.205,0.17,0.224,130.067,133846,4,58.0,Beast Mode
88,Alok,Love Again (feat. Alida),Love Again (feat. Alida),63bWXWGcWnRQvdS8bJWdkB,0.636,0.822,0,-4.321,0,0.0507,1.99e-05,0.121,0.338,127.225,147402,4,72.0,Beast Mode
89,ACRAZE,Do It To It,Do It To It,20on25jryn53hWghthWWW3,0.854,0.806,11,-8.262,0,0.0886,0.0542,0.0703,0.637,124.927,157890,4,91.0,Beast Mode
90,KREAM,Take Control,Take Control,4NPkQtN5w0T4ju8T6mYVsJ,0.676,0.9,6,-6.469,1,0.0881,0.0136,0.0942,0.482,122.984,167846,4,66.0,Beast Mode
91,Gabry Ponte,Thunder,Thunder,2USlegnFJLrVLpoVfPimKB,0.67,0.896,1,-4.673,1,0.058,3.21e-05,0.344,0.403,101.216,160000,3,85.0,Beast Mode
92,Jax Jones,i miss u (with Au/Ra),i miss u (with Au/Ra),7CH8J4ulT49UfZwSDSkSZA,0.668,0.726,9,-7.512,1,0.0468,0,0.134,0.453,124.075,172143,4,71.0,Beast Mode
93,Quintino,Switch Back,Switch Back,1M0hRg4ccFGMqi00ITrxNv,0.639,0.925,6,-5.408,0,0.036,0.942,0.341,0.183,128.003,165000,4,65.0,Beast Mode
94,Galantis,Dandelion,Dandelion,4NexTaCZZ7Ehnf03A6SVjt,0.8,0.66,0,-4.903,1,0.158,0.02,0.14,0.634,117.923,140012,4,72.0,Beast Mode
95,W&W,Skydance,Skydance,0c5nqQNIH07Lh16AOjqEPQ,0.377,0.895,8,-2.467,1,0.0476,0.000647,0.607,0.449,75.108,166812,4,63.0,Beast Mode
96,SIDEPIECE,Together,Together,3ydFRJUABULlXklU1M24TV,0.727,0.749,2,-5.811,0,0.0327,0.00666,0.105,0.466,125.056,186341,4,64.0,Beast Mode
97,Becky Hill,Last Time,Last Time,54zJ1SxDe0CQhWRij7E0no,0.725,0.794,7,-2.421,0,0.0699,0,0.106,0.754,123.964,214560,4,64.0,Beast Mode
98,Polo G,RAPSTAR,RAPSTAR,43PGPuHIlVOc04jrZVh9L6,0.789,0.536,6,-6.862,1,0.242,0,0.129,0.437,81.039,165926,4,83.0,Beast Mode
99,Tory Lanez,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",2MbdDtCv5LUVjYy9RuGTgC,0.904,0.723,11,-5.224,0,0.26,0,0.185,0.835,145.013,227478,4,79.0,Beast Mode
